ID,Nombre,Goles,Foto,DefaultFoto,FechaNacimiento,Posicion,LugarNacimiento,Apodo,CampeonatosUruguayos,TitulosInternacionales,Oficiales_partidosjugados,Oficiales_partidosganados,Oficiales_partidosempatados,Oficiales_partidosperdidos,Oficiales_golesmarcados,Amistosos_partidosjugados,Amistosos_partidosganados,Amistosos_partidosempatados,Amistosos_partidosperdidos,Amistosos_golesmarcados,ClasicosOficiales_partidosjugados,ClasicosOficiales_partidosganados,ClasicosOficiales_partidosempatados,ClasicosOficiales_partidosperdidos,ClasicosOficiales_golesmarcados,ClasicosAmistosos_partidosjugados,ClasicosAmistosos_partidosganados,ClasicosAmistosos_partidosempatados,ClasicosAmistosos_partidosperdidos,ClasicosAmistosos_golesmarcados
30,James William Best,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\30.jpg,False,-,dDelantero,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Jorge Canning,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\31.jpg,False,-,liLateral izquierdo,-,-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
32,Guillermo Colombo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\32.jpg,True,-,dcDefensa central,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Julio Soisa,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\33.jpg,False,-,voVolante ofensivo,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
34,Dalmiro Vittori,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\34.jpg,True,-,gGolero,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Ceferino Camacho,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\35.jpg,False,-,dcDefensa central,-,-,0.0,0.0,63.0,39.0,10.0,14.0,2.0,14.0,6.0,2.0,6.0,0.0,17.0,7.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0
36,Juan José Camacho,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\36.jpg,True,-,dcDefensa central,-,-,0.0,0.0,12.0,6.0,2.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Luis Pronzetti,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\37.jpg,True,-,dDelantero,-,-,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
38,Amilcar Acevedo,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\38.jpg,True,30/10/1884,voVolante ofensivo,-,-,0.0,0.0,5.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Julio Dall' Orto,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\39.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Eugenio Mañana,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\40.jpg,False,-,voVolante ofensivo,-,-,0.0,0.0,48.0,29.0,10.0,9.0,12.0,17.0,6.0,5.0,6.0,3.0,14.0,7.0,4.0,3.0,2.0,6.0,2.0,1.0,3.0,1.0
41,Luis Troison,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\41.jpg,True,-,dcDefensa central,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Juan Villalba,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\42.jpg,True,-,gGolero,-,-,0.0,0.0,7.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Germán Arímalo,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\43.jpg,False,19/07/1883,liLateral izquierdo,"Montevideo, Uruguay",-,0.0,0.0,8.0,5.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0
44,Eusebio Francisco Carbone Brune,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\44.jpg,False,14/08/1884,gGolero,"Montevideo, Uruguay",-,0.0,0.0,20.0,12.0,4.0,4.0,0.0,5.0,2.0,1.0,2.0,0.0,8.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
45,Luis Irineo Carbone Brune,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\45.jpg,False,25/03/1883,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,10.0,7.0,1.0,2.0,0.0,4.0,1.0,2.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
46,Pedro Carbone,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\46.jpg,True,-,dDelantero,-,-,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Ángel Irisarri,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\47.jpg,False,-,dcDefensa central,-,-,0.0,0.0,35.0,22.0,5.0,8.0,0.0,14.0,5.0,3.0,6.0,0.0,10.0,5.0,2.0,3.0,0.0,5.0,1.0,1.0,3.0,0.0
48,Pedro Zibechi,36,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\48.jpg,False,09/09/1887,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,101.0,59.0,21.0,21.0,30.0,33.0,12.0,9.0,12.0,6.0,17.0,8.0,4.0,5.0,3.0,8.0,1.0,1.0,6.0,0.0
49,Mario Devicenzi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\49.jpg,False,-,dcDefensa central,-,-,0.0,0.0,38.0,24.0,8.0,6.0,0.0,15.0,5.0,3.0,7.0,0.0,6.0,2.0,2.0,2.0,0.0,6.0,1.0,1.0,4.0,0.0
50,Sagunto Espinosa,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\50.jpg,False,14/01/1885,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Jorge Lloyd,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\51.jpg,False,-,dDelantero,-,-,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0
52,Guillermo Mathesson,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\52.jpg,True,-,liLateral izquierdo,-,-,0.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Agustín Manito,23,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\53.jpg,False,-,dDelantero,-,-,0.0,0.0,76.0,53.0,15.0,8.0,20.0,20.0,10.0,5.0,5.0,3.0,11.0,7.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0
54,Vicente Manito,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\54.jpg,True,-,liLateral izquierdo,-,-,0.0,0.0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Eleuterio Pintos,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\55.jpg,False,-,dcDefensa central,Uruguay,-,0.0,0.0,92.0,62.0,18.0,12.0,3.0,25.0,8.0,8.0,9.0,0.0,14.0,9.0,4.0,1.0,0.0,6.0,1.0,0.0,5.0,0.0
56,Leonard Crossley,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\56.jpg,False,-,gGolero,"Londres, Inglaterra",-,0.0,0.0,98.0,59.0,23.0,16.0,0.0,28.0,13.0,7.0,8.0,0.0,17.0,7.0,5.0,5.0,0.0,6.0,1.0,1.0,4.0,0.0
57,Ernesto Palmer,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\57.jpg,True,-,dDelantero,-,-,0.0,0.0,5.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0
58,Dardo Duncan Pereira,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\58.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,9.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Alfredo Betucci,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\59.jpg,False,-,dcDefensa central,-,-,0.0,0.0,105.0,66.0,19.0,20.0,5.0,30.0,14.0,6.0,10.0,0.0,16.0,8.0,4.0,4.0,2.0,6.0,1.0,0.0,5.0,0.0
60,Felipe Juan Canavessi,55,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\60.jpg,False,-,liLateral izquierdo,Uruguay,Ramaseca,0.0,0.0,84.0,56.0,17.0,11.0,39.0,23.0,8.0,8.0,7.0,16.0,10.0,5.0,3.0,2.0,6.0,6.0,1.0,0.0,5.0,5.0
61,John Harley,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\61.jpg,False,05/03/1886,vcVolante central,"Glasgow, Escocia",-,0.0,0.0,183.0,118.0,32.0,33.0,6.0,51.0,27.0,14.0,10.0,0.0,28.0,10.0,6.0,12.0,0.0,7.0,3.0,0.0,4.0,0.0
62,Juan Laguzzi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\62.jpg,False,-,dcDefensa central,-,-,0.0,0.0,50.0,36.0,9.0,5.0,0.0,9.0,4.0,3.0,2.0,0.0,7.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
63,Víctor Legorburo,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\63.jpg,False,-,dDelantero,-,-,0.0,0.0,14.0,8.0,0.0,6.0,5.0,8.0,2.0,3.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
64,Carlos Scarone,42,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\64.jpg,False,11/11/1888,dDelantero,"Montevideo, Uruguay",Rasqueta,0.0,0.0,70.0,47.0,14.0,9.0,35.0,16.0,7.0,3.0,6.0,7.0,13.0,5.0,4.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0
65,Guillermo Manito,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\65.jpg,False,-,liLateral izquierdo,Uruguay,-,0.0,0.0,125.0,83.0,24.0,18.0,6.0,26.0,11.0,7.0,8.0,0.0,20.0,11.0,6.0,3.0,0.0,7.0,1.0,1.0,5.0,0.0
66,Julio López,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\66.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,8.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
67,Carlos Broggia,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\67.jpg,True,-,dcDefensa central,-,-,0.0,0.0,14.0,9.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Pedro Casal,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\68.jpg,True,-,dDelantero,-,-,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Luis Quaglia,34,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\69.jpg,False,-,dDelantero,-,-,0.0,0.0,86.0,53.0,17.0,16.0,28.0,18.0,9.0,4.0,5.0,6.0,16.0,7.0,5.0,4.0,7.0,3.0,1.0,0.0,2.0,2.0
70,Carlos Ronzoni,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\70.jpg,False,-,vcVolante central,-,-,0.0,0.0,52.0,35.0,10.0,7.0,0.0,14.0,6.0,4.0,4.0,0.0,11.0,6.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0
71,Julio Facello,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\71.jpg,True,-,liLateral izquierdo,-,-,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Ernesto Andrés Raffo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\72.jpg,False,-,dcDefensa central,-,-,0.0,0.0,26.0,14.0,6.0,6.0,0.0,4.0,1.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Sábato Ángel Romano,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\73.jpg,False,02/08/1893,dDelantero,"Montevideo, Uruguay",El loco,0.0,0.0,49.0,30.0,9.0,10.0,9.0,11.0,6.0,1.0,4.0,3.0,12.0,5.0,3.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0
74,Luis Solans,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\74.jpg,False,-,gGolero,-,-,0.0,0.0,18.0,14.0,1.0,3.0,0.0,5.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
75,Máximo Plazaola,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\75.jpg,True,-,dcDefensa central,-,-,0.0,0.0,10.0,5.0,1.0,4.0,0.0,4.0,1.0,1.0,2.0,0.0,5.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
76,Antonio Campolo,64,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\76.jpg,False,07/02/1897,dDelantero,"Montevideo, Uruguay",Giroba,0.0,0.0,286.0,207.0,49.0,30.0,40.0,186.0,124.0,31.0,31.0,24.0,29.0,10.0,6.0,13.0,6.0,10.0,6.0,1.0,3.0,0.0
77,Roberto Chery,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\77.jpg,False,16/02/1896,gGolero,"Montevideo, Uruguay",Poeta,0.0,0.0,39.0,29.0,7.0,3.0,0.0,15.0,7.0,5.0,3.0,0.0,8.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
78,Ernesto Cornú,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\78.jpg,True,-,gGolero,-,-,0.0,0.0,25.0,14.0,5.0,6.0,0.0,12.0,7.0,5.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0
79,Juan Roque Gesuele,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\79.jpg,False,-,voVolante ofensivo,-,-,0.0,0.0,23.0,10.0,6.0,7.0,4.0,11.0,6.0,4.0,1.0,5.0,7.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0
80,Isabelino Gradín,73,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\80.jpg,False,08/07/1897,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,137.0,91.0,23.0,23.0,52.0,43.0,28.0,11.0,4.0,21.0,22.0,5.0,4.0,13.0,6.0,7.0,3.0,2.0,2.0,1.0
81,Alfredo Granja,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\81.jpg,False,02/05/1891,dcDefensa central,"Montevideo, Uruguay",Pachorra,0.0,0.0,160.0,110.0,31.0,19.0,2.0,101.0,65.0,16.0,20.0,1.0,19.0,4.0,5.0,10.0,0.0,10.0,7.0,0.0,3.0,0.0
82,Luis Melgar,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\82.jpg,True,-,dcDefensa central,-,-,0.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Jorge Pacheco,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\83.jpg,False,27/10/1890,ldLateral derecho,"Montevideo, Uruguay",-,0.0,0.0,53.0,36.0,8.0,9.0,0.0,17.0,12.0,3.0,2.0,0.0,12.0,4.0,3.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0
